,Date,Power Gen MW,,
0,04/10/2012,0,,7347.81
1,05/10/2012,0,,
2,06/10/2012,0,,
3,07/10/2012,0,,
4,08/10/2012,0,,
5,09/10/2012,0,,
6,10/10/2012,0,,
7,11/10/2012,0,,
8,12/10/2012,0,,
9,13/10/2012,0,,
10,14/10/2012,0,,
11,15/10/2012,0,,
12,16/10/2012,0,,
13,17/10/2012,0,,
14,18/10/2012,0,,
15,19/10/2012,0,,
16,20/10/2012,0,,
17,21/10/2012,0,,
18,22/10/2012,0,,
19,23/10/2012,0,,
20,24/10/2012,0,,
21,25/10/2012,0,,
22,26/10/2012,0,,
23,27/10/2012,0,,
24,28/10/2012,0,,
25,29/10/2012,0,,
26,30/10/2012,0,,
27,31/10/2012,0,,
28,01/11/2012,0,,
29,02/11/2012,0,,
30,03/11/2012,0,,
31,04/11/2012,0,,
32,05/11/2012,0,,
33,06/11/2012,0,,
34,07/11/2012,0,,
35,08/11/2012,0,,
36,09/11/2012,0,,
37,10/11/2012,0,,
38,11/11/2012,0,,
39,12/11/2012,0,,
40,13/11/2012,0,,
41,14/11/2012,0,,
42,15/11/2012,0,,
43,16/11/2012,0,,
44,17/11/2012,0,,
45,18/11/2012,0,,
46,19/11/2012,0,,
47,20/11/2012,0,,
48,21/11/2012,0,,
49,22/11/2012,0,,
50,23/11/2012,0,,
51,24/11/2012,0,,
52,25/11/2012,0,,
53,26/11/2012,0,,
54,27/11/2012,0,,
55,28/11/2012,0,,
56,29/11/2012,0,,
57,30/11/2012,0,,
58,01/12/2012,0,,
59,02/12/2012,0,,
60,03/12/2012,0,,
61,04/12/2012,0,,
62,05/12/2012,0,,
63,06/12/2012,0,,
64,07/12/2012,0,,
65,08/12/2012,0,,
66,09/12/2012,0,,
67,10/12/2012,0,,
68,11/12/2012,0,,
69,12/12/2012,0,,
70,13/12/2012,0,,
71,14/12/2012,0,,
72,15/12/2012,0,,
73,16/12/2012,0,,
74,17/12/2012,0,,
75,18/12/2012,0,,
